execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.299954399466515e-06,7.599993841722608e-05,9.000010322779417e-06,8.300063200294971e-06,7.229996845126152e-05,9.100011084228754e-06,7.199996616691351e-05,9.100069291889668e-06,8.700008038431406e-06,1.0599964298307896e-05,5.300040356814861e-06,4.300032742321491e-06,0.0002576999831944704,0.00017209997167810798,5.699985194951296e-06,0.0007294999668374658
2,8.899951353669167e-06,7.60000548325479e-05,8.79995059221983e-06,8.100003469735384e-06,7.090001599863172e-05,9.09995287656784e-06,7.280003046616912e-05,8.699949830770493e-06,8.400005754083395e-06,1.0000017937272787e-05,7.199996616691351e-06,4.300032742321491e-06,0.00024619995383545756,0.0001659000408835709,5.599984433501959e-06,0.0007108999416232109
3,9.600014891475439e-06,7.830001413822174e-05,1.2400036212056875e-05,8.400063961744308e-06,7.250002818182111e-05,9.499955922365189e-06,7.209996692836285e-05,9.800016414374113e-06,8.899951353669167e-06,1.2399978004395962e-05,6.89999433234334e-06,4.799978341907263e-06,0.0003021999727934599,0.00016990001313388348,5.999987479299307e-06,0.00078369997208938
