execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1899508535861969e-05,8.159969002008438e-05,8.699949830770493e-06,4.90015372633934e-06,0.0002927999012172222,5.700159817934036e-06,4.400033503770828e-06,9.29972156882286e-06,9.400304406881332e-06,7.479963824152946e-05,0.0017098002135753632,0.00812870031222701,0.00024230033159255981,9.700190275907516e-06,0.001902600284665823,0.012496600393205881
2,0.00015580002218484879,9.139999747276306e-05,1.7799902707338333e-05,1.0599847882986069e-05,0.010478099808096886,1.0699965059757233e-05,9.200070053339005e-06,1.789908856153488e-05,1.949956640601158e-05,8.590007200837135e-05,0.0018312996253371239,0.005039599724113941,0.00039040064439177513,2.0199455320835114e-05,0.001958200242370367,0.02013659803196788
3,0.00014559971168637276,8.5500068962574e-05,1.7599668353796005e-05,9.899958968162537e-06,0.010060500353574753,1.0299496352672577e-05,8.600298315286636e-06,1.7399899661540985e-05,1.8499791622161865e-05,8.520018309354782e-05,0.0017251004464924335,0.004889999981969595,0.000373300164937973,1.969980075955391e-05,0.001895600464195013,0.019362800288945436
