execution_number,input_class_name,input_class_stereotype
1,Book,kind
2,Collection,kind
3,Comment,subkind
4,Commentable,category
5,Corporate_Resource,category
6,Course,kind
7,Creatable,category
8,Creation,subkind
9,Deletable,category
10,Delete,subkind
11,Edit,subkind
12,Editable,category
13,Follow,subkind
14,Interaction,kind
15,Learning_Path,kind
16,Link,kind
17,Podcast,kind
18,Private_Interaction,subkind
19,Public_Interaction,subkind
20,Public_Resource,category
21,Resource,category
22,Search,subkind
23,Upvotable,category
24,Upvote,subkind
25,Video,kind
26,View,subkind
27,Viewable,category
