class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Administrative_Department,subkind,subkind,False,True,False,3,0
Administrative_Organization,subkind,subkind,False,False,True,1,7
Advisory,subkind,subkind,False,True,False,2,0
Allocated_Department,role,role,False,True,False,3,0
Allocated_Office,role,role,False,True,False,4,0
Board,subkind,subkind,False,True,False,2,0
Border_Station,phase,phase,False,True,False,3,0
Central_Office,phase,phase,False,False,True,3,1
Department,subkind,subkind,False,False,True,2,3
Diagnostic_Laboratory,subkind,subkind,False,True,False,2,0
Local_Office,phase,phase,False,True,False,3,0
Mobile_Unit,subkind,subkind,False,True,False,2,0
Office,subkind,subkind,False,False,True,2,4
Operational_Organization,subkind,subkind,False,False,True,1,10
Organization,kind,kind,True,False,False,0,19
Regional_Office,phase,phase,False,True,False,3,0
Section,subkind,subkind,False,True,False,2,0
Service_Station,phase,phase,False,True,False,3,0
Station,subkind,subkind,False,False,True,2,2
Technical_Department,subkind,subkind,False,True,False,3,0
