taxonomy_name,dataset_name,num_classes
barcelos2015transport-networks_tx001.ttl,barcelos2015transport-networks,388
barcelos2015transport-networks_tx002.ttl,barcelos2015transport-networks,18
barcelos2015transport-networks_tx003.ttl,barcelos2015transport-networks,2
barcelos2015transport-networks_tx004.ttl,barcelos2015transport-networks,6
barcelos2015transport-networks_tx005.ttl,barcelos2015transport-networks,9
barcelos2015transport-networks_tx006.ttl,barcelos2015transport-networks,6
barcelos2015transport-networks_tx007.ttl,barcelos2015transport-networks,6
barcelos2015transport-networks_tx008.ttl,barcelos2015transport-networks,13
barcelos2015transport-networks_tx009.ttl,barcelos2015transport-networks,6
barcelos2015transport-networks_tx010.ttl,barcelos2015transport-networks,7
barcelos2015transport-networks_tx011.ttl,barcelos2015transport-networks,2
barcelos2015transport-networks_tx012.ttl,barcelos2015transport-networks,19
