class_name,class_original_classification,classification_final_list
Chamber,category,can
HeartAsBloodContainer,role,is
HeartAsPump,kind,is
HumanBody,kind,is
HumanHeart,kind,not
LeftAtrium,kind,is
LeftAtriumAsBloodContainer,role,is
LeftAtriumAsPump,role,is
LeftVentricle,kind,is
LeftVentricleAsBloodContainer,role,can
LeftVentricleAsPump,role,can
Muscle,category,can
RightAtrium,kind,is
RightAtriumAsBloodContainer,role,can
RightAtriumAsPump,role,is
RightVentricle,kind,can
RightVentricleAsBloodContainer,role,is
RightVentricleAsPump,role,is
