execution_number,input_class_name,input_class_stereotype
1,Active,role
2,Alimenta��o_dupla,subkind
4,Backup,role
5,Bank_of_Battery,subkind
8,Contingency,role
9,Cooler_Redundante,subkind
11,Cooling_Fan,subkind
13,Dispositive_de_drede_dual,subkind
14,Dual_Network_Device,subkind
15,Dual_Power_Inlet,subkind
17,Fonte_Redundante,subkind
19,Generator,subkind
21,Link,subkind
22,Management_Suite,subkind
25,Monitoring_Software,subkind
27,Network_Provider,subkind
28,Offline,role
29,Online,role
30,Passive,role
31,Periferico,subkind
32,Peripheral,subkind
33,Physical_Media,subkind
37,Power_Distributor,subkind
39,Redundant_Power_Supply,subkind
45,Telecom_Asset,subkind
