execution_number,input_class_name,input_class_stereotype
1,Agent,category
2,Area_Owner,rolemixin
3,Audio_Object,kind
4,Author,rolemixin
5,Cancelled,phase
6,Closed,phasemixin
7,Composite_Area,subkind
8,Composite_Event,subkind
9,Contributor,rolemixin
10,Event_Plan,kind
11,Event_Plan_Category,subkind
12,Event_Series,subkind
13,Event_Series_Category,subkind
14,Geospatial_Feature,category
15,Hybrid_Event,phase
16,Image_Object,kind
17,In-Person_Event,phase
18,License_Holder,rolemixin
19,Lift,kind
20,Lift_Category,subkind
21,Media_Object,category
22,Media_Object_Category,subkind
23,Mountain_Area,kind
24,Mountain_Area_Category,subkind
25,Named_Entity,category
26,Operational,phasemixin
27,Organization,kind
28,Organizer,rolemixin
29,Permanently_Closed,phasemixin
30,Person,kind
31,Place,category
32,Published,phase
33,Publisher,rolemixin
34,SimpleArea,subkind
35,Simple_Event,subkind
36,Ski_Slope,subkind
37,Ski_Slope_Category,subkind
38,Snow_Measurement,kind
39,Snowpark,subkind
40,Snowpark_Category,subkind
41,Snowpark_Feature,subkind
42,Sponsor,rolemixin
43,Trail,kind
44,Trail_Category,subkind
45,Venue,rolemixin
46,Video_Object,kind
47,Virtual_Event,phase
