execution_number,input_class_name,input_class_stereotype
1,AbioticEntity,category
2,Air,kind
3,Amazonia,subkind
4,Animal,category
5,AssistantInCollection,role
6,Biome,subkind
7,BioticEntity,category
8,BlackWater,subkind
9,BrackishWater,subkind
10,Caatinga,subkind
11,Capoeira,subkind
12,Cerrado,subkind
13,ClassifiedEntity,role
14,Clayey,subkind
15,Clearwater,subkind
16,CollectedEntity,role
17,CostalZone,subkind
18,Ecosystem,kind
19,EntityInStudy,role
20,Field,subkind
21,Forest,subkind
22,Freshwater,subkind
23,Humous,subkind
24,Hydromorphic,subkind
25,Igapo,subkind
26,Litholic,subkind
27,Lowland,subkind
28,MacroEcosystem,subkind
29,MataAtlantica,subkind
30,MaterialEntity,category
31,MesoEcosystem,subkind
32,MicorEcosystem,subkind
33,Microorganism,category
34,ObjectClassifier,role
35,Pantanal,subkind
36,ParticipantInCollection,role
37,Person,kind
38,Plant,category
39,Researcher,role
40,ResearcherParticipant,role
41,ResponsibleForCollection,role
42,Restinga,subkind
43,Rocky,subkind
44,Saltwater,subkind
45,Sandy,subkind
46,Soil,kind
47,Vegetation,kind
48,Water,kind
49,WhiteWater,subkind
