class_name,class_original_classification,classification_final_list
Assentamento,kind,not
Buraco,kind,not
Defeito_de_Trecho_Rodoviário,kind,not
Defeito_na_Balança,kind,can
Defeito_na_Drenagem,kind,can
Defeito_na_Faixa_de_Domínio,kind,is
Defeito_na_Interseção,kind,can
Defeito_na_Ponte,kind,can
Defeito_na_Sinalização_Rodoviária,kind,can
Defeito_no_Canteiro_Central,kind,can
Defeito_no_Componente_de_Iluminação,kind,can
Defeito_no_Pavimento,kind,is
Defeito_no_Túnel,kind,can
Degradação,kind,not
Depressão,kind,not
Desgaste,kind,not
Desnível,kind,not
Escalonamento,kind,not
Escorregamento,kind,not
Fenda,kind,not
Fissura,kind,not
Ondulação,kind,not
Quebra,kind,not
Trilha_de_Roda,kind,not
Trinca,kind,not
