execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.400005754083395e-05,0.005487699992954731,0.001959599961992353,9.600014891475439e-06,0.023937400022987276,8.440000237897038e-05,9.300012607127428e-06,1.009996049106121e-05,9.199953638017178e-06,1.2199976481497288e-05,5.799985956400633e-06,5.00003807246685e-06,0.0009785000002011657,0.0008371000294573605,6.499991286545992e-06,0.03343640000093728
2,1.0299962013959885e-05,9.09995287656784e-06,1.279998105019331e-05,8.430000161752105e-05,9.399955160915852e-06,1.0199961252510548e-05,0.011916199990082532,1.5799945686012506e-05,1.0800024028867483e-05,1.3399985618889332e-05,1.179997343569994e-05,0.0006644999957643449,8.700008038431406e-06,5.099980626255274e-06,5.799985956400633e-06,0.012788199703209102
3,1.2699980288743973e-05,0.00010190001921728253,1.2499978765845299e-05,1.2199976481497288e-05,7.990002632141113e-05,9.500014130026102e-06,7.639994146302342e-05,9.600073099136353e-06,9.300070814788342e-06,1.1700030881911516e-05,6.199989002197981e-06,4.599976819008589e-06,0.00027930003125220537,0.0001846000086516142,7.800001185387373e-06,0.0008182001183740795
4,9.379995753988624e-05,0.0069136000238358974,0.002074000076390803,1.92999723367393e-05,0.021462999982759356,0.003359799913596362,2.1099986042827368e-05,2.1099986042827368e-05,1.939997309818864e-05,2.5500135961920023e-05,1.2299977242946625e-05,1.00000761449337e-05,0.008466300030704588,0.0012194999726489186,1.2899981811642647e-05,0.04373160004615784
5,1.0699965059757233e-05,8.09000339359045e-05,9.999959729611874e-06,9.199953638017178e-06,7.700000423938036e-05,1.0200019460171461e-05,7.689994527027011e-05,9.700015652924776e-06,9.800016414374113e-06,1.2299977242946625e-05,6.699992809444666e-06,4.700035788118839e-06,0.00038460001815110445,0.0002769000129774213,7.299997378140688e-06,0.0009868999477475882
6,8.970010094344616e-05,0.007816899917088449,0.0020458000362850726,1.9799976143985987e-05,0.021685099985916167,0.003641700022853911,2.6900088414549828e-05,2.0799983758479357e-05,1.9600032828748226e-05,2.6900030206888914e-05,1.200009137392044e-05,9.499955922365189e-06,0.0077797999838367105,0.0013500999775715172,1.2899981811642647e-05,0.044557500164955854
7,9.90001717582345e-06,7.680000271648169e-05,9.400013368576765e-06,8.700008038431406e-06,7.969996659085155e-05,9.599956683814526e-06,7.459998596459627e-05,9.699957445263863e-06,8.999952115118504e-06,1.1399970389902592e-05,5.599984433501959e-06,4.299974534660578e-06,0.00031540001509711146,0.00022680003894492984,5.999987479299307e-06,0.0008568998309783638
