class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
AplleEndocarp,subkind,subkind,False,True,False,3,0
Apple,kind,kind,False,True,False,2,0
AppleAspect,category,category,False,False,True,1,13
AppleColor,quality,kind,False,True,False,3,0
AppleDisposition,category,category,False,False,True,2,1
AppleEndurant,category,category,True,False,False,0,21
AppleExocarp,subkind,subkind,False,True,False,3,0
AppleFeature,category,category,False,False,True,2,4
AppleHandlingActivity,event,other,False,False,True,1,2
AppleHarvest,event,other,False,True,False,2,0
AppleLowNutritionalFactor,quality,kind,False,True,False,6,0
AppleNutritionalFactor,quality,kind,False,False,True,3,1
ApplePart,category,category,False,False,True,2,2
ApplePathology,mode,kind,False,True,False,3,0
ApplePathologyEnablingFactor,mixin,mixin,True,False,False,0,6
ApplePostHarvestPathologyEnablingFactor,category,category,False,False,True,1,1
ApplePreHarvestPathologyEnablingFactor,category,category,False,False,True,1,1
AppleQuality,category,category,False,False,True,2,4
AppleQualityState,event,other,False,True,False,1,0
AppleStain,mode,kind,False,True,False,3,0
AppleStorage,event,other,False,True,False,2,0
AppleSubstance,category,category,False,False,True,1,6
AppleTaste,quality,kind,False,True,False,3,0
Event,category,category,True,False,False,0,7
HoleInApple,mode,kind,False,True,False,3,0
InadequatePhysicalQualityStateOfSpatialEntityDuringAppleHandling,event,other,False,True,False,5,0
InfectedAppleSubstance,role,role,False,True,False,3,0
InsectStingInApple,mode,kind,False,True,False,4,0
PathogenSign,relator,kind,False,True,False,2,0
PathologicalAppleSubstance,phase,phase,False,False,True,2,1
PhysicalQualityState,event,other,False,False,True,1,2
PhysicalQualityStateOfSpatialEntityDuringAppleHandling,event,other,False,False,True,2,1
PressureMarkInApple,mode,kind,False,True,False,4,0
