execution_number,input_class_name,input_class_stereotype
1,Anulled_Tender,role
2,Completed_Tender,role
3,Concession_Tender,subkind
4,Construction_Tender,subkind
5,Disposal_Tender,subkind
6,Empty_Tender,role
7,Failed_Tender,role
8,Lease_Tender,subkind
9,Permission_Tender,subkind
10,Permission_Tender_in_Auction,role
11,Permission_Tender_in_External_Phase,role
12,Publication_Context,rolemixin
13,Purchase_Tender,subkind
14,Service_Tender,subkind
15,Suspended_Tender,role
16,Tended_With_Winner,role
17,Tender,kind
18,Tender_Without_Winner,role
19,Tender_in_Call_for_Tender,role
20,Tender_in_External_Phase,role
21,Tender_in_Homologation_Process,role
22,Tender_in_Internal_Phase,role
23,Tender_in_Proposal_Reviewing,role
24,Tender_in_Qualification,role
