class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Autarchy,subkind,subkind,False,True,False,5,0
Company,kind,kind,False,False,True,1,3
Foundation,subkind,subkind,False,True,False,5,0
MixedEconomyCompany,phase,phase,False,True,False,6,0
NonEmpresarialPublicEntity,kind,kind,False,False,True,4,2
Organization,category,category,True,False,False,0,10
OrganizationalUnit,category,category,True,False,False,0,11
PublicAdmnistrativeUnit,subkind,subkind,False,True,False,2,0
PublicCompany,phase,phase,False,True,False,6,0
PublicEntity,category,category,False,False,True,3,6
PublicOrganization,category,category,False,False,True,2,8
StateCompany,phase,phase,False,False,True,5,2
UnityOfOrganization,kind,kind,True,False,False,0,1
�rg�o,kind,kind,False,True,False,3,0
�rg�o_Colegiado,kind,kind,False,True,False,1,0
