execution_number,input_class_name,input_class_stereotype
1,A-FP,category
2,A_-_LPF_Source_Connected,role
3,A_-_Layer_Processor_Sink_Connected,role
4,A_Sk_-_Termination_Sink_Connected,role
5,A_Sk_-_Uni_Matrix_Connected,role
6,A_Sk_-_Uni_Subnetwork_Connected,role
7,A_Sk_Input_-_Sk_AP_Bound,role
8,A_Sk_Output_-_A-FP_Bound,role
9,A_Sk_Output_-_Sk_A-FEP_Bound,role
10,A_Sk_Output_-_Sk_LP-FP_Bound,role
11,A_Sk_Output_-_Sk_LPF-FP_Bound,role
12,A_Sk_Output_-_Sk_M-FP_Bound,role
13,A_Sk_Output_-_Sk_SN-FP_Bound,role
14,A_So_-_Adaptation_Sink_Connected,role
15,A_So_-_Termination_Source_Connected,role
16,A_So_-_Uni_Matrix_Connected,role
17,A_So_-_Uni_Subnetwork_Connected,role
18,A_So_Input_-_A-FP_Bound,role
19,A_So_Input_-_So_A-FEP_Bound,role
20,A_So_Input_-_So_L-FP_Bound,role
21,A_So_Input_-_So_LPF-FP_Bound,role
22,A_So_Input_-_So_M-FP_Bound,role
23,A_So_Input_-_So_SN-FP_Bound,role
24,A_So_Output_-_So_AP_Bound,role
25,Access_Group,kind
26,Access_Point,category
27,Access_Transport_Entity,kind
28,Active_Bidirectional_AP,role
29,Active_Bidirectional_PM-FEP_-_PM_LC_Connected,role
30,Active_Bidirectional_PM-FEP_-_PM_NC_Connected,role
31,Active_Bidirectional_Path_FEP_-_Path_NC_Connected,rolemixin
32,Active_End_Bidirectional_SN-FEP,role
33,Active_Intermediate_Bidirectional_M-FP,role
34,Active_Intermediate_Bidirectional_SN-FP,role
35,Active_Path_Bidirectional_M-FEP,role
36,Active_Path_Bidirectional_M-FP,role
37,Active_Path_Bidirectional_SN-FEP,role
38,Active_Path_Bidirectional_SN-FP,role
39,Active_Possible_Bi_LC_Connected_RP,rolemixin
40,Active_Sink_AP,role
41,Active_Sk_M-FEP_-_Sk_MC_connected,role
42,Active_Sk_M-FP_-_Int_MC_connected,role
43,Active_Sk_M-FP_-_Sk_MC_connected,role
44,Active_Sk_PM-FEP_-_PM_LC_connected,role
45,Active_Sk_PM-FEP_-_PM_NC_connected,role
46,Active_Sk_Path-FEP_-_Path_NC_connected,rolemixin
47,Active_Sk_SN-FEP_-_End_CFTE_connected,role
48,Active_Sk_SN-FEP_-_Sk_CFTE_connected,role
49,Active_Sk_SN-FP_-_Int_CFTE_connected,role
50,Active_Sk_SN-FP_-_Sk_CFTE_connected,role
51,Active_So_M-FEP_-_So_MC_connected,role
52,Active_So_M-FP_-_Int_MC_connected,role
53,Active_So_M-FP_-_So_MC_connected,role
54,Active_So_PM-FEP_-_PM_LC_connected,role
55,Active_So_PM-FEP_-_PM_NC_connected,role
56,Active_So_Path-FEP_-_Path_NC_connected,rolemixin
57,Active_So_SN-FEP_-_End_CFTE_connected,role
58,Active_So_SN-FEP_-_So_CFTE_connected,role
59,Active_So_SN-FP_-_Int_CFTE_connected,role
60,Active_So_SN-FP_-_So_CFTE_connected,role
61,Active_Source_AP,role
62,Adaptation_Function,kind
63,Adaptation_Sink,subkind
64,Adaptation_Sink_-_A_So_Connected,role
65,Adaptation_Sink_-_T_Sk_Connected,role
66,Adaptation_Sink_Input,kind
67,Adaptation_Sink_Output,kind
68,Adaptation_Sk_Bidirectional_Component,subkind
69,Adaptation_So_Bidirectional_Component,subkind
70,Adaptation_Source,subkind
71,Adaptation_Source_-_T_So_Connected,role
72,Adaptation_Source_Input,kind
73,Adaptation_Source_Output,kind
74,Ag_PM_-_Bidirectional_Termination_Connected,role
75,Aggregated_Physical_Media,kind
76,Architectural_Component,category
77,Bi_A_-_Bi_Matrix_Connected,role
78,Bi_A_-_Bi_Subnetwork_Connected,role
79,Bi_A_-_Bidirectional_Termination_Connected,role
80,Bi_End_CFTE,subkind
81,Bi_Intermediate_CFTE,subkind
82,Bi_Intermediate_MC,subkind
83,Bi_M_-_Bidirectional_Termination_Connected,role
84,Bi_Matrix_-_A_Bi_Connected,role
85,Bi_PM_LC,subkind
86,Bi_Path_CFTE,subkind
87,Bi_Path_LC,subkind
88,Bi_Path_MC,subkind
89,Bi_SN_-_Bidirectional_Termination_Connected,role
90,Bi_Subnetwork_-_A_Bi_Connected,role
91,Bi_Termination_-_Bidirectional_A_Connected,role
92,Bidirectional_A-FEP,kind
93,Bidirectional_A-FP,kind
94,Bidirectional_AP,kind
95,Bidirectional_Access_Transport_Entity,subkind
96,Bidirectional_Adaptation,subkind
97,Bidirectional_Adaptation_-_Bi_A_Connected,role
98,Bidirectional_Adaptation_-_Bi_T_Connected,role
99,Bidirectional_Adaptation_-_LPF_Bi_Connected,role
100,Bidirectional_CFTE,subkind
101,Bidirectional_Connected_Subnetwork,role
102,Bidirectional_FEP,category
103,Bidirectional_LC,subkind
104,Bidirectional_LPF_-_Bi_Termination_Connected,role
105,Bidirectional_Layer_Processor_-_A_Bi_Connected,role
106,Bidirectional_Layer_Processor_Function,kind
107,Bidirectional_M-FEP,kind
108,Bidirectional_M-FP,kind
109,Bidirectional_MC,subkind
110,Bidirectional_Matrix,kind
111,Bidirectional_NC,subkind
112,Bidirectional_PM-FEP,kind
113,Bidirectional_PM_NC,subkind
114,Bidirectional_Path_FEP,category
115,Bidirectional_Path_NC,subkind
116,Bidirectional_SN-FEP,kind
117,Bidirectional_SN-FP,kind
118,Bidirectional_Sink-Source_Matrix,subkind
119,Bidirectional_Termination,subkind
120,Bidirectional_Termination_-_Ag_PM_Connected,role
121,Bidirectional_Termination_-_Bi_A_Connected,role
122,Bidirectional_Termination_-_Bi_LPF_Connection,role
123,Bidirectional_Termination_-_Bi_M_Connected,role
124,Bidirectional_Termination_-_Bi_SN_Connected,role
125,Bound_Input-Output,rolemixin
126,Bound_Transport_Function,rolemixin
127,Channel_Forwarding_Transport_Entity,kind
128,Co-located_Termination,phase
129,Component_LPF,role
130,Component_Matrix,rolemixin
131,Component_Subnetwork,role
132,Composed_AG,subkind
133,Composed_Topological_Layer,role
134,Connected_Reference_Point,rolemixin
135,Connected_Relatable_TC,rolemixin
136,Connected_Unidirectional_Matrix,role
137,Defined_Geographical_Element,category
138,Directly_Bound_Reference_Point,category
139,Directly_Connected_Transport_Entity,category
140,Egress_LC,rolemixin
141,Egress_MC_Sk,role
142,Egress_MC_Sk-So,role
143,Egress_MC_So,role
144,Egress_SN_Sk,role
145,Egress_SN_Sk-So,role
146,Egress_SN_Sk-So_2,role
147,Egress_SN_So,role
148,End_CFTE,subkind
149,End_CFTE_Bi_Component,role
150,Forwarding_End_Point,category
151,Forwarding_Function,kind
152,Forwarding_Function_CFTE,subkind
153,Forwarding_Function_CFTE_Sk,role
154,Forwarding_Function_CFTE_Sk-So,role
155,Forwarding_Function_CFTE_So,role
156,Forwarding_Function_CFTE_So-Sk,role
157,Forwarding_Function_LC,subkind
158,Forwarding_Function_LC_Connected,role
159,Forwarding_Function_Matrix,subkind
160,Forwarding_Function_Sk-So_Connected,role
161,Forwarding_Function_Sk_M_Connected,role
162,Forwarding_Function_So_M_Connected,role
163,Forwarding_Point,category
164,Geographical_Element,category
165,Geographical_Element_With_Alias,category
166,Ingress_LC,rolemixin
167,Ingress_MC_Sk,role
168,Ingress_MC_Sk-So,role
169,Ingress_MC_So,role
170,Ingress_SN_Sk,role
171,Ingress_SN_Sk-So,role
172,Ingress_SN_So,role
