execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0599847882986069e-05,9.460002183914185e-05,1.1299853213131428e-05,6.3999323174357414e-06,0.0013117999769747257,7.699942216277122e-06,5.699926987290382e-06,1.1599971912801266e-05,1.9000144675374031e-06,8.869997691363096e-05,0.007187499897554517,0.03675910003948957,0.0010922999354079366,1.389987301081419e-05,0.008213800028897822,0.054816899239085615
2,1.1300086043775082e-05,0.0049631999572739005,1.079996582120657e-05,6.800051778554916e-06,6.3999323174357414e-06,6.700051017105579e-06,0.0008360999636352062,8.800008799880743e-05,1.999898813664913e-06,0.003313699970021844,9.69000393524766e-05,9.039998985826969e-05,5.599926225841045e-06,1.3899989426136017e-05,0.00011800008360296488,0.009569799993187189
3,1.1599971912801266e-05,0.004932700074277818,1.4599994756281376e-05,6.7999353632330894e-06,9.600073099136353e-06,6.400048732757568e-06,0.0008384999819099903,9.240000508725643e-05,2.100015990436077e-06,0.003350400016643107,9.630003478378057e-05,8.869997691363096e-05,5.500041879713535e-06,1.3999873772263527e-05,0.00011890009045600891,0.009588500135578215
4,1.1500087566673756e-05,0.0048565000761300325,1.079996582120657e-05,6.9999368861317635e-06,6.300047971308231e-06,6.299931555986404e-06,0.0008254999993368983,9.200000204145908e-05,2.00001522898674e-06,0.003320900024846196,9.190000128000975e-05,8.690007962286472e-05,5.600042641162872e-06,1.3799872249364853e-05,0.00011040002573281527,0.009447400108911097
5,1.2300093658268452e-05,0.0050514001632109284,1.1499854736030102e-05,7.1999384090304375e-06,6.500049494206905e-06,6.600050255656242e-06,0.0008711999980732799,9.119999594986439e-05,2.200016751885414e-06,0.0034340000711381435,0.00010089995339512825,8.899997919797897e-05,5.700043402612209e-06,1.4099874533712864e-05,0.00011870008893311024,0.009822500171139836
6,1.1499854736030102e-05,0.004928199923597276,1.109996810555458e-05,6.5999338403344154e-06,6.600050255656242e-06,6.400048732757568e-06,0.0008845999836921692,8.79999715834856e-05,1.800013706088066e-06,0.003318999893963337,9.039998985826969e-05,8.779997006058693e-05,5.600042641162872e-06,1.3899989426136017e-05,0.0001178000820800662,0.00957929971627891
7,1.1899974197149277e-05,0.004871199955232441,1.1699972674250603e-05,7.100054062902927e-06,6.600050255656242e-06,6.500049494206905e-06,0.0008310000412166119,9.220000356435776e-05,1.9000144675374031e-06,0.0032990999752655625,9.14999982342124e-05,8.599995635449886e-05,5.800044164061546e-06,1.4199991710484028e-05,0.00011140003334730864,0.009448100114241242
8,1.2300093658268452e-05,0.0050409999676048756,1.1499971151351929e-05,6.9999368861317635e-06,6.300047971308231e-06,6.500049494206905e-06,0.0008643000619485974,8.979998528957367e-05,1.9000144675374031e-06,0.003379700006917119,9.829993359744549e-05,9.300000965595245e-05,5.900044925510883e-06,1.4299992471933365e-05,0.00011390005238354206,0.009745700168423355
9,1.1999858543276787e-05,0.005483400076627731,1.1299969628453255e-05,6.700051017105579e-06,6.800051778554916e-06,6.700051017105579e-06,0.000873900018632412,9.099999442696571e-05,2.300017513334751e-06,0.003530799876898527,0.0001330000814050436,9.410001803189516e-05,5.700043402612209e-06,1.479999627918005e-05,0.00012679991777986288,0.010399300022982061
