execution_number,input_class_name,input_class_stereotype
1,Administrative,role
2,Employee,role
3,Graduate_Student,role
4,Intern,role
5,Person,kind
6,Professor,role
7,Regular,role
8,Student,role
9,Undergraduate_Student,role
