taxonomy_name,dataset_name,num_classes
tourbo2021_tx001.ttl,tourbo2021,14
tourbo2021_tx002.ttl,tourbo2021,3
tourbo2021_tx003.ttl,tourbo2021,4
tourbo2021_tx004.ttl,tourbo2021,2
tourbo2021_tx005.ttl,tourbo2021,3
tourbo2021_tx006.ttl,tourbo2021,4
tourbo2021_tx007.ttl,tourbo2021,5
tourbo2021_tx008.ttl,tourbo2021,3
