class_name,class_original_classification,classification_final_list
A_requerimento_(art._12_I_c__segunda_parte),subkind,is
Definitiva_(art._12_I_b),subkind,can
Estrangeiros_de_qualquer_nacionalidade,subkind,is
Jus_sanguinis,subkind,is
Jus_solis_(art._12_I_a),subkind,is
Na_forma_de_lei,subkind,is
Nacionalidade_Brasileira,kind,is
Nacionalidade_brasileira_nata,subkind,is
Nacionalidade_brasileira_naturalizada,subkind,is
Origem_pa�s_de_l�ngua_portuguesa,subkind,is
Registro_no_exterior_(art._12_I_c__primeira_parte),subkind,is
Suspens�vel,subkind,is
