class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Application-based,subkind,subkind,False,True,False,2,0
DBMS-based,subkind,subkind,False,True,False,2,0
Data_Replication,kind,kind,False,False,True,1,7
Host-based,subkind,subkind,False,True,False,2,0
ITSC_Component,category,category,True,False,False,0,10
Local_Replication,subkind,subkind,False,True,False,2,0
Media_Backup/Restore,subkind,subkind,False,True,False,2,0
Remote_Replication,subkind,subkind,False,True,False,2,0
Resilient_Network,category,category,False,True,False,1,0
Site_Model,kind,kind,False,True,False,1,0
Storage-based,subkind,subkind,False,True,False,2,0
