execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.599607437849045e-06,9.200070053339005e-06,8.999835699796677e-06,5.09992241859436e-06,0.00019380031153559685,7.400289177894592e-06,4.200264811515808e-06,8.500181138515472e-06,1.7997808754444122e-06,0.0024283002130687237,8.009979501366615e-05,7.459986954927444e-05,0.0001301998272538185,1.0299962013959885e-05,8.800067007541656e-06,0.0029808999970555305
2,9.799841791391373e-06,9.09995287656784e-06,9.300187230110168e-06,5.200039595365524e-06,0.0002060001716017723,5.200039595365524e-06,4.400033503770828e-06,8.399598300457e-06,5.1995739340782166e-06,0.0024015996605157852,7.760012522339821e-05,7.530068978667259e-05,0.000130500178784132,1.0400079190731049e-05,9.29972156882286e-06,0.0029672998934984207
3,9.000301361083984e-06,8.110050112009048e-05,8.999835699796677e-06,4.800036549568176e-06,0.00029510026797652245,5.200039595365524e-06,4.400033503770828e-06,8.999370038509369e-06,1.700129359960556e-06,7.54999928176403e-05,0.0017227004282176495,0.008050999604165554,0.00024330010637640953,9.799841791391373e-06,0.0019206996075809002,0.012442300096154213
