execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0000017937272787e-05,8.800008799880743e-06,9.499955922365189e-06,8.329999400302768e-05,8.800008799880743e-06,8.209998486563563e-05,9.09995287656784e-06,1.9000144675374031e-06,9.500014130026102e-06,1.1700030881911516e-05,6.200047209858894e-06,0.0005313999718055129,5.200039595365524e-06,4.799978341907263e-06,5.499983672052622e-06,0.0007878000033088028
2,1.009996049106121e-05,8.900067768990993e-06,9.300070814788342e-06,8.200004231184721e-05,8.500006515532732e-06,8.100003469735384e-05,9.000010322779417e-06,1.7999554984271526e-06,9.500072337687016e-06,1.1899974197149277e-05,5.999987479299307e-06,0.0005232999683357775,5.099980626255274e-06,4.599976819008589e-06,5.100038833916187e-06,0.0007761001470498741
3,9.699957445263863e-06,7.830001413822174e-05,9.500014130026102e-06,8.600065484642982e-06,7.619999814778566e-05,9.500014130026102e-06,7.51999905332923e-05,5.099980626255274e-06,9.000010322779417e-06,1.0700023267418146e-05,5.800044164061546e-06,4.400033503770828e-06,0.00027459999546408653,0.00018510001245886087,5.799985956400633e-06,0.000767500139772892
4,9.200011845678091e-06,7.750000804662704e-05,9.400071576237679e-06,8.400063961744308e-06,7.419998291879892e-05,8.90000956133008e-06,7.750006625428796e-05,1.8998980522155762e-06,9.200070053339005e-06,1.0599964298307896e-05,5.999987479299307e-06,4.299974534660578e-06,0.0002658999874256551,0.00018019997514784336,5.599984433501959e-06,0.0007488000555895269
5,9.500014130026102e-06,8.699949830770493e-06,9.000010322779417e-06,8.219998562708497e-05,8.500006515532732e-06,1.2299977242946625e-05,0.011076700000558048,2.100015990436077e-06,1.780001912266016e-05,1.5199941117316484e-05,6.099988240748644e-06,0.0005394000327214599,5.299982149153948e-06,4.599976819008589e-06,5.199981387704611e-06,0.011802599881775677
