execution_number,input_class_name,input_class_stereotype
1,Bidirectional_Flow_VC_Token,rolemixin
2,Closed_VC_Token,rolemixin
3,Currency,kind
4,Currency_Quality_Space_Structure,kind
5,Digital_Monetary_Object,rolemixin
6,Monetary_Object,rolemixin
7,Money_Status_Function_Description,category
8,Normative_Description,category
9,Not_Valid_Monetary_Object,phasemixin
10,Object,category
11,Physical_Monetary_Object,rolemixin
12,Purchaseble_VC_Token,rolemixin
13,Social_Object,category
14,Unidirectional_Flow_VC_Token,rolemixin
15,Valid_Monetary_Object,phasemixin
16,Virtual_Currency_Quality_Structure,kind
17,Virtual_Currency_Scheme_Description,category
18,Virtual_Currency_Token,rolemixin
19,Virtual_currency,kind
