taxonomy_name,dataset_name,num_classes
mgic-antt2011_tx001.ttl,mgic-antt2011,19
mgic-antt2011_tx002.ttl,mgic-antt2011,20
mgic-antt2011_tx003.ttl,mgic-antt2011,2
mgic-antt2011_tx004.ttl,mgic-antt2011,150
mgic-antt2011_tx005.ttl,mgic-antt2011,2
mgic-antt2011_tx006.ttl,mgic-antt2011,311
mgic-antt2011_tx007.ttl,mgic-antt2011,2
mgic-antt2011_tx008.ttl,mgic-antt2011,76
mgic-antt2011_tx009.ttl,mgic-antt2011,7
mgic-antt2011_tx010.ttl,mgic-antt2011,27
mgic-antt2011_tx011.ttl,mgic-antt2011,2
mgic-antt2011_tx012.ttl,mgic-antt2011,3
mgic-antt2011_tx013.ttl,mgic-antt2011,2
mgic-antt2011_tx014.ttl,mgic-antt2011,7
mgic-antt2011_tx015.ttl,mgic-antt2011,5
mgic-antt2011_tx016.ttl,mgic-antt2011,31
mgic-antt2011_tx017.ttl,mgic-antt2011,8
mgic-antt2011_tx018.ttl,mgic-antt2011,17
mgic-antt2011_tx019.ttl,mgic-antt2011,8
mgic-antt2011_tx020.ttl,mgic-antt2011,44
mgic-antt2011_tx021.ttl,mgic-antt2011,8
mgic-antt2011_tx022.ttl,mgic-antt2011,10
mgic-antt2011_tx023.ttl,mgic-antt2011,12
mgic-antt2011_tx024.ttl,mgic-antt2011,2
mgic-antt2011_tx025.ttl,mgic-antt2011,11
mgic-antt2011_tx026.ttl,mgic-antt2011,3
mgic-antt2011_tx027.ttl,mgic-antt2011,5
mgic-antt2011_tx028.ttl,mgic-antt2011,3
mgic-antt2011_tx029.ttl,mgic-antt2011,8
mgic-antt2011_tx030.ttl,mgic-antt2011,8
mgic-antt2011_tx031.ttl,mgic-antt2011,6
mgic-antt2011_tx032.ttl,mgic-antt2011,16
mgic-antt2011_tx033.ttl,mgic-antt2011,2
mgic-antt2011_tx034.ttl,mgic-antt2011,4
mgic-antt2011_tx035.ttl,mgic-antt2011,3
mgic-antt2011_tx036.ttl,mgic-antt2011,3
mgic-antt2011_tx037.ttl,mgic-antt2011,3
mgic-antt2011_tx038.ttl,mgic-antt2011,3
mgic-antt2011_tx039.ttl,mgic-antt2011,4
mgic-antt2011_tx040.ttl,mgic-antt2011,56
mgic-antt2011_tx041.ttl,mgic-antt2011,3
mgic-antt2011_tx042.ttl,mgic-antt2011,3
mgic-antt2011_tx043.ttl,mgic-antt2011,3
mgic-antt2011_tx044.ttl,mgic-antt2011,12
mgic-antt2011_tx045.ttl,mgic-antt2011,6
mgic-antt2011_tx046.ttl,mgic-antt2011,2
mgic-antt2011_tx047.ttl,mgic-antt2011,2
mgic-antt2011_tx048.ttl,mgic-antt2011,25
mgic-antt2011_tx049.ttl,mgic-antt2011,6
mgic-antt2011_tx050.ttl,mgic-antt2011,3
mgic-antt2011_tx051.ttl,mgic-antt2011,2
mgic-antt2011_tx052.ttl,mgic-antt2011,11
mgic-antt2011_tx053.ttl,mgic-antt2011,5
mgic-antt2011_tx054.ttl,mgic-antt2011,21
mgic-antt2011_tx055.ttl,mgic-antt2011,2
mgic-antt2011_tx056.ttl,mgic-antt2011,3
mgic-antt2011_tx057.ttl,mgic-antt2011,5
mgic-antt2011_tx058.ttl,mgic-antt2011,5
mgic-antt2011_tx059.ttl,mgic-antt2011,8
mgic-antt2011_tx060.ttl,mgic-antt2011,2
mgic-antt2011_tx061.ttl,mgic-antt2011,2
mgic-antt2011_tx062.ttl,mgic-antt2011,4
mgic-antt2011_tx063.ttl,mgic-antt2011,2
mgic-antt2011_tx064.ttl,mgic-antt2011,2
mgic-antt2011_tx065.ttl,mgic-antt2011,15
mgic-antt2011_tx066.ttl,mgic-antt2011,3
mgic-antt2011_tx067.ttl,mgic-antt2011,5
