execution_number,input_class_name,input_class_stereotype
1,A_requerimento_(art._12_I_c__segunda_parte),subkind
2,Definitiva_(art._12_I_b),subkind
3,Estrangeiros_de_qualquer_nacionalidade,subkind
4,Jus_sanguinis,subkind
5,Jus_solis_(art._12_I_a),subkind
6,Na_forma_de_lei,subkind
7,Nacionalidade_Brasileira,kind
8,Nacionalidade_brasileira_nata,subkind
9,Nacionalidade_brasileira_naturalizada,subkind
10,Origem_pa�s_de_l�ngua_portuguesa,subkind
11,Registro_no_exterior_(art._12_I_c__primeira_parte),subkind
12,Suspens�vel,subkind
