class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artist,mixin,mixin,True,False,False,0,8
Artistic_Group,subkind,subkind,False,False,True,2,2
Artistic_Member,role,role,False,False,True,2,3
Composer,role,role,False,False,True,1,1
Group,collective,kind,True,False,False,0,3
Individual_Artist,role,role,False,False,True,4,1
Member,role,role,False,False,True,1,4
Music_Composer,role,role,False,True,False,2,0
Musical_Group,subkind,subkind,False,False,True,3,1
Musical_Member,role,role,False,False,True,3,1
Musician,role,role,False,True,False,6,0
Orchestra,subkind,subkind,False,True,False,4,0
Person,kind,kind,True,False,False,0,6
Publisher,role,role,False,True,False,1,0
Software_Program,kind,kind,False,True,False,1,0
